Reference,Value,Footprint,Qty,LCSC PN,Exclude from BOM,Exclude from Board
C1,10uF,Capacitor_SMD:C_0805_2012Metric,1,C6119932,,
"D1,D2,D3",LED,LED_SMD:LED_0805_2012Metric,3,C919444,,
"J1,J3,J7",Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",3,C3703,,
J2,Barrel_Jack,Connector_BarrelJack:BarrelJack_Horizontal,1,C381116,,
"J4,J8,J9,J10",Conn_01x20_Pin,Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical,4,C50984,,
"J5,J6",Conn_01x02_Pin,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,2,C49661,,
"J11,J12,J13,J14,J15,J16",Conn_01x08_Pin,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,6,C27438,,
"J17,J18",Conn_01x04_Pin,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,2,C124413,,
R1,1K,Resistor_SMD:R_0805_2012Metric,1,C2083831,,
R2,150E,Resistor_SMD:R_0805_2012Metric,1,C2084225,,
R3,100E,Resistor_SMD:R_0805_2012Metric,1,C2083905,,
"R4,R9",0E,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,C2936632,,
SW1,SW_SPDT,Button_Switch_THT:K3-1391A-51,1,C92655,,
